Tema;Ramo do direito;Assuntos;Tese Firmada;Anotações NUGEPNAC;Informações Complementares;Repercussão Geral
365;DIREITO TRIBUTÁRIO;(5986) Crédito Tributário, (14) DIREITO TRIBUTÁRIO, (5987) Suspensão da Exigibilidade, (5989) Parcelamento;"A produção do efeito suspensivo da exigibilidade do crédito tributário, advindo do parcelamento, condiciona-se à homologação expressa ou tácita do pedido formulado pelo contribuinte junto ao Fisco.
";"Processos destacados de ofício pelo relator.
";-;-
366;DIREITO TRIBUTÁRIO;(5917) IRPF/Imposto de Renda de Pessoa Física, (14) DIREITO TRIBUTÁRIO;"A complementação da pensão recebida de entidades de previdência privada, em decorrência da morte do participante ou contribuinte do fundo de assistência, quer a título de benefício quer de seguro, não sofre a incidência do Imposto de Renda apenas sob a égide da Lei 7.713/88, art. 6º, VII, ""a"", que restou revogado pela Lei 9.250/95, a qual, retornando ao regime anterior, previu a incidência do imposto de renda no momento da percepção do benefício.
";-;-;-
367;DIREITO TRIBUTÁRIO;(14) DIREITO TRIBUTÁRIO, (10531) ICMS / Incidência Sobre o Ativo Fixo, (5946) ICMS/ Imposto sobre Circulação de Mercadorias;"Ainda que, em tese, o deslocamento de bens do ativo imobilizado e de material de uso e consumo entre estabelecimentos de uma mesma instituição financeira não configure hipótese de incidência do ICMS, compete ao Fisco Estadual averiguar a veracidade da aludida operação, sobressaindo a razoabilidade e proporcionalidade da norma jurídica que tão-somente exige que os bens da pessoa jurídica sejam acompanhados das respectivas notas fiscais.
";"Processos destacados de ofício pelo relator.<br />
Legalidade da autuação fiscal do contribuinte que, ao proceder ao simples deslocamento de mercadoria de um para outro estabelecimento próprio (operação que não constitui hipótese de incidência do ICMS), não cumpriu o dever instrumental consistente no transporte dos bens acompanhados de documento fiscal hábil (nota fiscal), tendo em vista o disposto nos artigos 113, §§ 2º e 3º, e 194, do CTN.
";-;-
368;DIREITO TRIBUTÁRIO;(14) DIREITO TRIBUTÁRIO;<p>Os créditos decorrentes da obrigação de devolução do empréstimo compulsório, incidente sobre o consumo de energia elétrica, podem ser cedidos a terceiros, uma vez inexistente impedimento legal expresso à transferência ou à cessão dos aludidos créditos, nada inibindo a incidência das normas de direito privado à espécie, notadamente o art. 286 do Código Civil.</p>;<p>Processos destacados de ofício pelo relator.</p>;-;-
369;DIREITO CIVIL;(9589) Depósito, (899) DIREITO CIVIL;"A correção monetária dos depósitos judiciais deve incluir os expurgos inflacionários.
";"Processos destacados de ofício pelo relator.<br />
Situação do tema alterada para sobrestado, em razão da decisão proferida pelo relator do Tema 1016 do STF (RE 1141156, decisão publicada no DJe de 12/3/2019).
";-;Tema 1016/STF - Constitucionalidade da inclusão dos expurgos inflacionários na correção monetária incidente sobre valores depositados judicialmente.
370;DIREITO TRIBUTÁRIO;(14) DIREITO TRIBUTÁRIO, (5917) IRPF/Imposto de Renda de Pessoa Física;"Não incide Imposto de Renda sobre verba percebida a título de dano moral.
";"Processos destacados de ofício pelo relator.<br />
""Não incide imposto de renda sobre o valor da indenização pago a terceiro. Essa ausência de incidência não depende da natureza do dano a ser reparado. Qualquer espécie de dano (material, moral puro ou impuro, por ato legal ou ilegal) indenizado, o valor concretizado como ressarcimento está livre da incidência de imposto de renda. A prática do dano em si não é fato gerador do imposto de renda por não ser renda. O pagamento da indenização também não é renda, não sendo, portanto, fato gerador desse imposto.""
";-;-
371;DIREITO CIVIL;(4805) Previdência privada, (10590) Resgate de Contribuição, (899) DIREITO CIVIL;"Há de se reconhecer o direito à restituição de contribuições pagas ao extinto Instituto de Previdência dos Congressistas - IPC, fundo fechado de previdência, visto que os segurados, ex-contribuintes, após a extinção, nenhum benefício receberão em contrapartida, evitando-se, assim, o enriquecimento ilícito da União, sucessora nos direitos e obrigações do IPC.
";"Processos destacados de ofício pelo relator.<br />
O ex-congressista não detentor do direito à pensão, porque não completou o período de carência de 8 (oito) anos, tem direito ao ressarcimento das importâncias recolhidas a título de contribuição previdenciária ao Instituto de Previdência dos Congressistas - IPC.
";-;-
372;DIREITO TRIBUTÁRIO;(6089) Regimes Especiais de Tributação, (14) DIREITO TRIBUTÁRIO, (6092) SIMPLES;"Os hospitais podem optar pelo SIMPLES, tendo em vista que eles não são prestadores de serviços médicos e de enfermagem, mas, ao contrário, dedicam-se a atividades que dependem de profissionais que prestem referidos serviços, uma vez que há diferença entre a empresa que presta serviços médicos e aquela que contrata profissionais para a consecução de sua finalidade.
";"Processos destacados de ofício pelo relator.
";-;-
373;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO, (8829) Competência, (8938) Formação, Suspensão e Extinção do Processo;"A execução fiscal proposta pela União e suas autarquias deve ser ajuizada perante o Juiz de Direito da comarca do domicílio do devedor, quando esta não for sede de vara da justiça federal. A decisão do Juiz Federal, que declina da competência quando a norma do art. 15, I, da Lei nº 5.010, de 1966 deixa de ser observada, não está sujeita ao enunciado da Súmula nº 33 do Superior Tribunal de Justiça.
";"RRC de Origem (art. 543-C, § 1º, do CPC/73).<br />
1. A competência deve ser declinada ex officio quando não ajuizada a execução fiscal no foro do domicílio do devedor.<br />
<br />
Lei 13.043/2014 revogou o inciso I do art. 15 da Lei nº 5.010/1966
";"Considerações do Ministro: ""O foro do domicílio do devedor é aquele indicado à repartição fiscal. Se a mudança de domicílio se dá sem que seja comunicada à autoridade administrativa, já não se pode dizer que a execução fiscal foi ajuizada em foro diverso daquele previsto em lei (L. 5.010/66, art. 15).""
";Tema 780/STF - Legitimidade do conhecimento de ofício da incompetência para o julgamento de execução fiscal na hipótese de inobservância do art. 578 do Código de Processo Civil.
373;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO, (8829) Competência, (8938) Formação, Suspensão e Extinção do Processo;"A execução fiscal proposta pela União e suas autarquias deve ser ajuizada perante o Juiz de Direito da comarca do domicílio do devedor, quando esta não for sede de vara da justiça federal. A decisão do Juiz Federal, que declina da competência quando a norma do art. 15, I, da Lei nº 5.010, de 1966 deixa de ser observada, não está sujeita ao enunciado da Súmula nº 33 do Superior Tribunal de Justiça.
";"RRC de Origem (art. 543-C, § 1º, do CPC/73).<br />
1. A competência deve ser declinada ex officio quando não ajuizada a execução fiscal no foro do domicílio do devedor.<br />
<br />
Lei 13.043/2014 revogou o inciso I do art. 15 da Lei nº 5.010/1966
";"Considerações do Ministro: ""O foro do domicílio do devedor é aquele indicado à repartição fiscal. Se a mudança de domicílio se dá sem que seja comunicada à autoridade administrativa, já não se pode dizer que a execução fiscal foi ajuizada em foro diverso daquele previsto em lei (L. 5.010/66, art. 15).""
";Tema 780/STF - Legitimidade do conhecimento de ofício da incompetência para o julgamento de execução fiscal na hipótese de inobservância do art. 578 do Código de Processo Civil.
374;DIREITO TRIBUTÁRIO;(14) DIREITO TRIBUTÁRIO, (6008) Base de Cálculo, (5945) IPI/ Imposto sobre Produtos Industrializados;"A dedução dos descontos incondicionais é vedada, no entanto, quando a incidência do tributo se dá sobre valor previamente fixado, nos moldes da Lei 7.798/89 (regime de preços fixos), salvo se o resultado dessa operação for idêntico ao que se chegaria com a incidência do imposto sobre o valor efetivo da operação, depois de realizadas as deduções pertinentes.
";"RRC de Origem (art. 543-C, § 1º, do CPC/73).<br />
""As questões tratadas nestes autos não possuem exata correspondência com a matéria debatida na repercussão geral"" - <b>Tema 84/STF</b> , ""no qual o Supremo Tribunal Federal reconheceu a existência de repercussão geral da questão alusiva à exclusão do valor dos descontos incondicionais da base de cálculo do Imposto sobre Produtos Industrializados (IPI)"". Decisão da Vice-Presidência, publicada no DJe de 04/12/2014.
";-;-
375;DIREITO TRIBUTÁRIO;(5999) CND/Certidão Negativa de Débito, (5978) Obrigação Tributária, (14) DIREITO TRIBUTÁRIO;"A confissão da dívida não inibe o questionamento judicial da obrigação tributária, no que se refere aos seus aspectos jurídicos. Quanto aos aspectos fáticos sobre os quais incide a norma tributária, a regra é que não se pode rever judicialmente a confissão de dívida efetuada com o escopo de obter parcelamento de débitos tributários. No entanto, como na situação presente, a matéria de fato constante de confissão de dívida pode ser invalidada quando ocorre defeito causador de nulidade do ato jurídico (v.g. erro, dolo, simulação e fraude).
";"Processos destacados de ofício pelo relator.<br />
""Caso em que a Administração Tributária Municipal, ao invés de corrigir o erro de ofício, ou a pedido do administrado, como era o seu dever, optou pela lavratura de cinco autos de infração eivados de nulidade, o que forçou o contribuinte a confessar o débito e pedir parcelamento diante da necessidade premente de obtenção de certidão negativa. Situação em que o vício contido nos autos de infração (erro de fato) foi transportado para a confissão de débitos feita por ocasião do pedido de parcelamento, ocasionando a invalidade da confissão.""
";-;-
376;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8893) Atos Processuais, (8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO;"<b>A intimação da parte agravada para resposta é procedimento natural de preservação do princípio do contraditório</b>, nos termos do art. 527, V, do CPC. (...) A dispensa do referido ato processual ocorre tão-somente quando o relator nega seguimento ao agravo (art. 527, I), uma vez que essa decisão beneficia o agravado, razão pela qual conclui-se que a intimação para a apresentação de contrarrazões é condição de validade da decisão que causa prejuízo ao recorrente.
";"Processos destacados de ofício pelo relator.<br />
Necessidade de intimação<br />
1. A intimação para a apresentação de contrarrazões é condição de validade da decisão que causa prejuízo ao agravado.<br />
2. Hipótese em que o ""acórdão recorrido deu provimento ao agravo de instrumento do Município de São Paulo, causando evidente prejuízo aos agravados, ora recorrentes, por isso que merece ser reformado.""
";-;-
377;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO, (8893) Atos Processuais;"A <b>intimação</b> da parte agravada para resposta é procedimento natural de preservação do princípio do contraditório, nos termos do art. 527, V, do CPC. (...) A <b>dispensa do referido ato processual</b> ocorre tão-somente quando o relator nega seguimento ao agravo (art. 527, I), uma vez que essa decisão beneficia o agravado, razão pela qual conclui-se que a intimação para a apresentação de contrarrazões é condição de validade da decisão que causa prejuízo ao recorrente.
";"Processos destacados de ofício pelo relator.<br />
Desnecessidade de intimação.
";-;-
378;DIREITO TRIBUTÁRIO;(14) DIREITO TRIBUTÁRIO, (5986) Crédito Tributário, (5987) Suspensão da Exigibilidade, (5988) Carta de fiança;"A fiança bancária não é equiparável ao depósito integral do débito exequendo para fins de suspensão da exigibilidade do crédito tributário, ante a taxatividade do art. 151 do CTN e o teor do Enunciado Sumular n. 112 desta Corte.
";"RRC de Origem (art. 543-C, § 1º, do CPC/73).<br />
Não é possível substituir o depósito do montante integral por fiança bancária para suspensão da exigibilidade do crédito tributário.
";-;-
379;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8928)  Prazo, (8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO, (9045) Recurso, (11781) Objetos de cartas precatórias cíveis/de ordem;"Nos casos de intimação/citação realizadas por Correio, Oficial de Justiça, ou por Carta de Ordem, Precatória ou Rogatória, o prazo recursal inicia-se com a juntada aos autos do aviso de recebimento, do mandado cumprido, ou da juntada da carta.
";"RRC de Origem (art. 543-C, § 1º, do CPC/73).
";-;-
379;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8928)  Prazo, (8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO, (9045) Recurso, (11781) Objetos de cartas precatórias cíveis/de ordem;"Nos casos de intimação/citação realizadas por Correio, Oficial de Justiça, ou por Carta de Ordem, Precatória ou Rogatória, o prazo recursal inicia-se com a juntada aos autos do aviso de recebimento, do mandado cumprido, ou da juntada da carta.
";"RRC de Origem (art. 543-C, § 1º, do CPC/73).
";-;-
379;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8928)  Prazo, (8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO, (9045) Recurso, (11781) Objetos de cartas precatórias cíveis/de ordem;"Nos casos de intimação/citação realizadas por Correio, Oficial de Justiça, ou por Carta de Ordem, Precatória ou Rogatória, o prazo recursal inicia-se com a juntada aos autos do aviso de recebimento, do mandado cumprido, ou da juntada da carta.
";"RRC de Origem (art. 543-C, § 1º, do CPC/73).
";-;-
379;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8928)  Prazo, (8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO, (9045) Recurso, (11781) Objetos de cartas precatórias cíveis/de ordem;"Nos casos de intimação/citação realizadas por Correio, Oficial de Justiça, ou por Carta de Ordem, Precatória ou Rogatória, o prazo recursal inicia-se com a juntada aos autos do aviso de recebimento, do mandado cumprido, ou da juntada da carta.
";"RRC de Origem (art. 543-C, § 1º, do CPC/73).
";-;-
380;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(9166) Multa de 10%, (8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO, (9148) Liquidação / Cumprimento / Execução;"No caso de sentença ilíquida, para a imposição da multa prevista no art. 475-J do CPC, revela-se indispensável (i) a prévia liquidação da obrigação; e, após, o acertamento, (ii) a intimação do devedor, na figura do seu Advogado, para pagar o quantum ao final definido no prazo de 15 dias.
";"Processos destacados de ofício pelo relator.
";-;-
381;DIREITO TRIBUTÁRIO;(14) DIREITO TRIBUTÁRIO;"A regra de imputação de pagamentos estabelecida no art. 354 do Código Civil não se aplica às hipóteses de compensação tributária.
";"Processos destacados de ofício pelo relator.<br />
REsp 960239/SC: acórdão publicado no DJe de 21/11/2012 - retratação parcial apenas quanto à questão atinente à prescrição (aplicação do julgado em repercussão geral - RE 566621 - Tema 4/STF), sem alteração da questão objeto do presente tema.
";-;-
381;DIREITO TRIBUTÁRIO;(14) DIREITO TRIBUTÁRIO;"A regra de imputação de pagamentos estabelecida no art. 354 do Código Civil não se aplica às hipóteses de compensação tributária.
";"Processos destacados de ofício pelo relator.<br />
REsp 960239/SC: acórdão publicado no DJe de 21/11/2012 - retratação parcial apenas quanto à questão atinente à prescrição (aplicação do julgado em repercussão geral - RE 566621 - Tema 4/STF), sem alteração da questão objeto do presente tema.
";-;-
382;DIREITO TRIBUTÁRIO;(5979) Responsabilidade tributária, (14) DIREITO TRIBUTÁRIO, (5978) Obrigação Tributária;"A responsabilidade tributária do sucessor abrange, além dos tributos devidos pelo sucedido, as multas moratórias ou punitivas, que, por representarem dívida de valor, acompanham o passivo do patrimônio adquirido pelo sucessor, desde que seu fato gerador tenha ocorrido até a data da sucessão.
";"Processos destacados de ofício pelo relator.<br />
Sucessão da empresa extinta e transmissão de obrigações e haveres à empresa que a incorporou.
";-;-
383;DIREITO TRIBUTÁRIO;(14) DIREITO TRIBUTÁRIO, (5986) Crédito Tributário, (5978) Obrigação Tributária;"O prazo prescricional quinquenal para o Fisco exercer a pretensão de cobrança judicial do crédito tributário conta-se da data estipulada como vencimento para o pagamento da obrigação tributária declarada (mediante DCTF, GIA, entre outros), nos casos de tributos sujeitos a lançamento por homologação, em que, não obstante cumprido o dever instrumental de declaração da exação devida, não restou adimplida a obrigação principal (pagamento antecipado), nem sobreveio quaisquer das causas suspensivas da exigibilidade do crédito ou interruptivas do prazo prescricional.
";"Processos destacados de ofício pelo relator.<br />
Ver Súmula 436/STJ
";-;-
384;DIREITO TRIBUTÁRIO;(6001) Expedição de Certidão Positiva de Débito com Efeito de Negativa, (14) DIREITO TRIBUTÁRIO;"A recusa, pela Administração Fazendária Federal, do fornecimento de Certidão Positiva com efeitos de Negativa (CPD-EN), no período de 30.12.2004 a 30.12.2005, revela-se ilegítima na hipótese em que configurada pendência superior a 30 (trinta) dias do pedido de revisão administrativa formulado pelo contribuinte, fundado na alegação de pagamento integral do débito fiscal antes de sua inscrição na dívida ativa, ex vi do disposto no artigo 13, da Lei 11.051/2004.
";"Processos destacados de ofício pelo relator.<br />
""Malgrado o pedido de revisão administrativa (fundado na alegação de pagamento integral do débito fiscal antes de sua inscrição na dívida ativa) não se enquadre nas hipóteses de expedição de CPD-EN enumeradas no artigo 206, do CTN, o artigo 13, da Lei 11.051/2004 (de vigência temporária), autorizou o fornecimento da certidão quando ultrapassado o prazo de 30 (trinta) dias sem resposta da Administração Tributária Federal.""
";-;-
385;DIREITO TRIBUTÁRIO;(5997) Denúncia espontânea, (14) DIREITO TRIBUTÁRIO;"A denúncia espontânea resta configurada na hipótese em que o contribuinte, após efetuar a declaração parcial do débito tributário (sujeito a lançamento por homologação) acompanhado do respectivo pagamento integral, retifica-a (antes de qualquer procedimento da Administração Tributária), noticiando a existência de diferença a maior, cuja quitação se dá concomitantemente.
";"Processos destacados de ofício pelo relator.
";-;-
386;DIREITO TRIBUTÁRIO;(14) DIREITO TRIBUTÁRIO, (5917) IRPF/Imposto de Renda de Pessoa Física, (5979) Responsabilidade tributária, (6011) Fato Gerador/Incidência;-;"Processos destacados de ofício pelo relator.
";-;-
387;DIREITO TRIBUTÁRIO;(5916) Impostos, (5998) Lançamento, (14) DIREITO TRIBUTÁRIO, (5952) IPTU/ Imposto Predial e Territorial Urbano, (5986) Crédito Tributário;"A retificação de dados cadastrais do imóvel, após a constituição do crédito tributário, autoriza a revisão do lançamento pela autoridade administrativa (desde que não extinto o direito potestativo da Fazenda Pública pelo decurso do prazo decadencial), quando decorrer da apreciação de fato não conhecido por ocasião do lançamento anterior, ex vi do disposto no artigo 149, inciso VIII, do CTN.
";"Processos destacados de ofício pelo relator.<br />
1. A alteração de dados cadastrais do imóvel configura erro de fato apto a ensejar a revisão de ofício do lançamento de IPTU.<br />
2. O lançamento original reportou-se à área menor do imóvel objeto da tributação por desconhecimento de sua real metragem, o que determinou a posterior retificação dos dados cadastrais (e não o recadastramento do imóvel).
";-;-
388;DIREITO TRIBUTÁRIO;(6071) Contribuições Especiais, (6087) CPMF/Contribuição Provisória sobre Movimentação Financeira, (6011) Fato Gerador/Incidência, (4728) Câmbio, (14) DIREITO TRIBUTÁRIO, (9580) Espécies de Contratos;A Contribuição Provisória sobre Movimentação ou Transmissão de Valores de Créditos e Direitos de Natureza Financeira - CPMF, enquanto vigente, incidia sobre a conversão de crédito decorrente de empréstimo em investimento externo direto (contrato de câmbio simbólico), uma vez que a tributação aperfeiçoava-se mesmo diante de operação unicamente escritural.;Processos destacados de ofício pelo relator.<br>A conversão dos créditos (oriundos de empréstimo) em investimento externo direto concretiza-se mediante a realização de operações simultâneas de compra e venda de moeda estrangeira (sem expedição de ordem de pagamento do ou para o exterior), consubstanciadas em lançamentos fictícios de entrada e saída de recursos.;-;-
389;DIREITO TRIBUTÁRIO;(5941) II/ Imposto sobre Importação, (14) DIREITO TRIBUTÁRIO;"O agente marítimo, no exercício exclusivo de atribuições próprias, no <b>período anterior à vigência do Decreto-Lei 2.472/88</b> (que alterou o artigo 32, do Decreto-Lei 37/66), não ostentava a condição de responsável tributário, nem se equiparava ao transportador, para fins de recolhimento do Imposto sobre Importação, porquanto inexistente previsão legal para tanto.
";"Processos destacados de ofício pelo relator.<br />
""No que concerne ao período posterior à vigência do Decreto-Lei 2.472/88, sobreveio hipótese legal de responsabilidade tributária solidária (a qual não comporta benefício de ordem, à luz inclusive do parágrafo único, do artigo 124, do CTN) do 'representante, no país, do transportador estrangeiro'. (...) A discussão acerca do enquadramento ou não da figura do ""agente marítimo"" como o ""representante, no país, do transportador estrangeiro"" (à luz da novel dicção do artigo 32, II, ""b"", do Decreto-Lei 37/66) refoge da controvérsia posta nos autos, que se cinge ao período anterior à vigência do Decreto-Lei 2.472/88.""
";-;-
390;DIREITO TRIBUTÁRIO;(5917) IRPF/Imposto de Renda de Pessoa Física, (14) DIREITO TRIBUTÁRIO, (6011) Fato Gerador/Incidência;-;"Processos destacados de ofício pelo relator.
";-;Tema 185/STF - Incidência do imposto de renda sobre os resultados financeiros verificados na liquidação de contratos de swap para fins de hedge.
391;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO, (8829) Competência;"O juízo do inventário, na modalidade de arrolamento sumário, não detém competência para apreciar pedido de reconhecimento da isenção do ITCMD (Imposto sobre Transmissão <i>Causa Mortis</i> e Doação de quaisquer Bens ou Direitos), à luz do disposto no caput do artigo 179, do CTN.
";"Processos destacados de ofício pelo relator.
";-;-
392;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO;"A reunião de processos contra o mesmo devedor, por conveniência da unidade da garantia da execução, nos termos do art. 28 da Lei 6.830/80, é uma faculdade outorgada ao juiz, e não um dever.
";"Processos destacados de ofício pelo relator.<br />
A reunião de diversos processos executivos, pela dicção do art. 28, da LEF, ressoa como uma faculdade do órgão jurisdicional, não se tratando de regra cogente, máxime em face do necessário juízo de conveniência ou não da medida, o que é aferível casuisticamente.
";-;-
393;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(9163) Penhora / Depósito/ Avaliação , (8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO;"O crédito tributário de autarquia federal goza do direito de preferência em relação àquele de que seja titular a Fazenda Estadual, desde que a penhora recaia sobre o mesmo bem.
";"Processos destacados de ofício pelo relator.<br />
O crédito tributário de autarquia federal goza do direito de preferência em relação àquele de que seja titular a Fazenda Estadual, desde que coexistentes execuções e penhoras. A instauração do concurso de credores pressupõe pluralidade de penhoras sobre o mesmo bem, por isso que apenas se discute a preferência quando há execução fiscal e recaia a penhora sobre o bem excutido em outra demanda executiva.
";-;-
394;DIREITO TRIBUTÁRIO;(5933) IRPJ/Imposto de Renda de Pessoa Jurídica, (14) DIREITO TRIBUTÁRIO, (6008) Base de Cálculo, (10543) Depósito Judicial, (5986) Crédito Tributário, (5987) Suspensão da Exigibilidade;"Os depósitos judiciais utilizados para suspender a exigibilidade do crédito tributário consistem em ingressos tributários, sujeitos à sorte da demanda judicial, e não em receitas tributárias, de modo que não são dedutíveis da base de cálculo do IRPJ até o trânsito em julgado da demanda.
";"Processos destacados de ofício pelo relator.
";-;-
395;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(9045) Recurso, (8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO;"Adota-se como valor de alçada para o cabimento de apelação em sede de execução fiscal o valor de R$ 328,27 (trezentos e vinte e oito reais e vinte e sete centavos), corrigido pelo IPCA-E a partir de janeiro de 2001, valor esse que deve ser observado à data da propositura da execução.
";"Processos destacados de ofício pelo relator.
";-;-
396;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(11785) Diligências, (8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO;"Ainda que a execução fiscal tenha sido ajuizada na Justiça Federal (o que afasta a incidência da norma inserta no artigo 1º, § 1º, da Lei 9.289/96), cabe à Fazenda Pública Federal adiantar as despesas com o transporte/condução/deslocamento dos oficiais de justiça necessárias ao cumprimento da carta precatória de penhora e avaliação de bens (processada na Justiça Estadual), por força do princípio hermenêutico <i>ubi eadem ratio ibi eadem legis dispositio</i>.
";"Processos destacados de ofício pelo relator.
";-;-
396;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(11785) Diligências, (8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO;"Ainda que a execução fiscal tenha sido ajuizada na Justiça Federal (o que afasta a incidência da norma inserta no artigo 1º, § 1º, da Lei 9.289/96), cabe à Fazenda Pública Federal adiantar as despesas com o transporte/condução/deslocamento dos oficiais de justiça necessárias ao cumprimento da carta precatória de penhora e avaliação de bens (processada na Justiça Estadual), por força do princípio hermenêutico <i>ubi eadem ratio ibi eadem legis dispositio</i>.
";"Processos destacados de ofício pelo relator.
";-;-
396;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(11785) Diligências, (8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO;"Ainda que a execução fiscal tenha sido ajuizada na Justiça Federal (o que afasta a incidência da norma inserta no artigo 1º, § 1º, da Lei 9.289/96), cabe à Fazenda Pública Federal adiantar as despesas com o transporte/condução/deslocamento dos oficiais de justiça necessárias ao cumprimento da carta precatória de penhora e avaliação de bens (processada na Justiça Estadual), por força do princípio hermenêutico <i>ubi eadem ratio ibi eadem legis dispositio</i>.
";"Processos destacados de ofício pelo relator.
";-;-
397;DIREITO TRIBUTÁRIO;(5917) IRPF/Imposto de Renda de Pessoa Física, (14) DIREITO TRIBUTÁRIO;"A indenização decorrente de desapropriação não encerra ganho de capital, porquanto a propriedade é transferida ao poder público por valor justo e determinado pela justiça a título de indenização, não ensejando lucro, mas mera reposição do valor do bem expropriado. (...) Não-incidência da exação sobre as verbas auferidas a título de indenização advinda de desapropriação, seja por necessidade ou utilidade pública ou por interesse social, porquanto não representam acréscimo patrimonial.
";"Processos destacados de ofício pelo relator.
";-;-
398;DIREITO TRIBUTÁRIO;(14) DIREITO TRIBUTÁRIO, (5951) ISS/ Imposto sobre Serviços, (6007) Repetição de indébito;"A pretensão repetitória de valores indevidamente recolhidos a título de ISS incidente sobre a locação de bens móveis (cilindros, máquinas e equipamentos utilizados para acondicionamento dos gases vendidos), hipótese em que o tributo assume natureza indireta, reclama da parte autora a prova da não repercussão, ou, na hipótese de ter a mesma transferido o encargo a terceiro, de estar autorizada por este a recebê-los.
";"Processos destacados de ofício pelo relator.
";"Súmula Vinculante 31/STF - ""É inconstitucional a incidência do Imposto sobre Serviços de Qualquer Natureza - ISS sobre operações de locação de bens móveis"".
";-
399;DIREITO TRIBUTÁRIO;(14) DIREITO TRIBUTÁRIO, (5951) ISS/ Imposto sobre Serviços;"Os serviços postais e telemáticos prestados por empresas franqueadas, sob a égide da LC 56/87, não sofrem a incidência do ISS, em observância ao princípio tributário da legalidade.
";"Processos destacados de ofício pelo relator.
";-;-
400;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(10655) Honorários Advocatícios, (9518) Efeito Suspensivo / Impugnação / Embargos à Execução, (8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO;"A condenação, em honorários advocatícios, do contribuinte, que formula pedido de desistência dos embargos à execução fiscal de créditos tributários da Fazenda Nacional, para fins de adesão a programa de parcelamento fiscal, configura inadmissível bis in idem, tendo em vista o encargo estipulado no Decreto-lei 1.025/69.
";"Processos destacados de ofício pelo relator.
";-;-
401;DIREITO TRIBUTÁRIO;(6091) PAES/Parcelamento Especial, (6089) Regimes Especiais de Tributação, (14) DIREITO TRIBUTÁRIO;"A exclusão do contribuinte do programa de parcelamento (PAES), em virtude da extemporaneidade do cumprimento do requisito formal da desistência de impugnação administrativa, afigura-se ilegítima na hipótese em que tácito o deferimento da adesão (à luz do artigo 11, § 4º, da Lei 10.522/2002, c/c o artigo 4º, III, da Lei 10.684/2003) e adimplidas as prestações mensais estabelecidas por mais de quatro anos e sem qualquer oposição do Fisco.
";"Processos destacados de ofício pelo relator.
";-;-
402;DIREITO TRIBUTÁRIO;(14) DIREITO TRIBUTÁRIO, (5999) CND/Certidão Negativa de Débito, (5986) Crédito Tributário, (6001) Expedição de Certidão Positiva de Débito com Efeito de Negativa;"Revela-se legítima a recusa da autoridade impetrada em expedir certidão negativa de débito (CND) ou de certidão positiva com efeitos de negativa (CPEN) quando a autoridade tributária verifica a ocorrência de pagamento a menor, em virtude da existência de divergências entre os valores declarados na Guia de Recolhimento do FGTS e Informações à Previdência Social (GFIP) e os valores efetivamente recolhidos mediante guia de pagamento (GP).
";"Processos destacados de ofício pelo relator.<br />
Hipótese que não se identifica com a alegação de mero descumprimento da obrigação acessória de informar, mensalmente, ao INSS, dados relacionados aos fatos geradores da contribuição previdenciária (artigo 32, IV e § 10, da Lei 8.212/91).
";-;-
